holdings,cash,total,Date
0.0,10000.0,10000.0,2023-07-21
0.0,10000.0,10000.0,2023-07-22
0.0,10000.0,10000.0,2023-07-23
0.0,10000.0,10000.0,2023-07-24
0.0,10000.0,10000.0,2023-07-25
0.0,10000.0,10000.0,2023-07-26
0.0,10000.0,10000.0,2023-07-27
0.0,10000.0,10000.0,2023-07-28
0.0,10000.0,10000.0,2023-07-29
0.0,10000.0,10000.0,2023-07-30
0.0,10000.0,10000.0,2023-07-31
0.0,10000.0,10000.0,2023-08-01
0.0,10000.0,10000.0,2023-08-02
0.0,10000.0,10000.0,2023-08-03
0.0,10000.0,10000.0,2023-08-04
0.0,10000.0,10000.0,2023-08-05
0.0,10000.0,10000.0,2023-08-06
0.0,10000.0,10000.0,2023-08-07
10200.641625898501,-9.999999999998181,10190.641625898503,2023-08-08
10130.73144415358,-9.999999999998181,10120.731444153582,2023-08-09
10085.528477922273,-9.999999999998181,10075.528477922275,2023-08-10
10074.604238104386,-9.999999999998181,10064.604238104388,2023-08-11
10080.858517674164,-9.999999999998181,10070.858517674165,2023-08-12
0.0,10060.992969959516,10060.992969959516,2023-08-13
0.0,10060.992969959516,10060.992969959516,2023-08-14
0.0,10060.992969959516,10060.992969959516,2023-08-15
0.0,10060.992969959516,10060.992969959516,2023-08-16
0.0,10060.992969959516,10060.992969959516,2023-08-17
0.0,10060.992969959516,10060.992969959516,2023-08-18
0.0,10060.992969959516,10060.992969959516,2023-08-19
0.0,10060.992969959516,10060.992969959516,2023-08-20
0.0,10060.992969959516,10060.992969959516,2023-08-21
0.0,10060.992969959516,10060.992969959516,2023-08-22
0.0,10060.992969959516,10060.992969959516,2023-08-23
0.0,10060.992969959516,10060.992969959516,2023-08-24
0.0,10060.992969959516,10060.992969959516,2023-08-25
0.0,10060.992969959516,10060.992969959516,2023-08-26
0.0,10060.992969959516,10060.992969959516,2023-08-27
10067.369456898628,-10.060992969958534,10057.30846392867,2023-08-28
10692.572477506917,-10.060992969958534,10682.511484536959,2023-08-29
10526.701719632385,-10.060992969958534,10516.640726662426,2023-08-30
0.0,10507.91083852179,10507.91083852179,2023-08-31
0.0,10507.91083852179,10507.91083852179,2023-09-01
0.0,10507.91083852179,10507.91083852179,2023-09-02
0.0,10507.91083852179,10507.91083852179,2023-09-03
0.0,10507.91083852179,10507.91083852179,2023-09-04
0.0,10507.91083852179,10507.91083852179,2023-09-05
0.0,10507.91083852179,10507.91083852179,2023-09-06
0.0,10507.91083852179,10507.91083852179,2023-09-07
10371.961820810544,-10.50791083851982,10361.453909972024,2023-09-08
10367.96746019077,-10.50791083851982,10357.45954935225,2023-09-09
10342.563232811244,-10.50791083851982,10332.055321972724,2023-09-10
10074.48361220989,-10.50791083851982,10063.97570137137,2023-09-11
10343.010526130452,-10.50791083851982,10332.502615291933,2023-09-12
10501.150609947408,-10.50791083851982,10490.642699108888,2023-09-13
10625.807035311323,-10.50791083851982,10615.299124472804,2023-09-14
10653.44069145494,-10.50791083851982,10642.93278061642,2023-09-15
10637.260715812075,-10.50791083851982,10626.752804973556,2023-09-16
10623.610449762979,-10.50791083851982,10613.102538924459,2023-09-17
0.0,10602.001615674315,10602.001615674315,2023-09-18
0.0,10602.001615674315,10602.001615674315,2023-09-19
0.0,10602.001615674315,10602.001615674315,2023-09-20
10382.298149380942,-10.602001615672634,10371.69614776527,2023-09-21
10386.962411609598,-10.602001615672634,10376.360409993926,2023-09-22
10386.892955241932,-10.602001615672634,10376.29095362626,2023-09-23
10260.838807009348,-10.602001615672634,10250.236805393675,2023-09-24
10277.116784517213,-10.602001615672634,10266.51478290154,2023-09-25
10245.372934723426,-10.602001615672634,10234.770933107753,2023-09-26
10298.311662250408,-10.602001615672634,10287.709660634735,2023-09-27
10559.682079832375,-10.602001615672634,10549.080078216703,2023-09-28
10516.763387412217,-10.602001615672634,10506.161385796544,2023-09-29
10538.723811703318,-10.602001615672634,10528.121810087645,2023-09-30
10935.699009700358,-10.602001615672634,10925.097008084686,2023-10-01
0.0,10911.447594599036,10911.447594599036,2023-10-02
10880.399583522732,-10.91144759459712,10869.488135928135,2023-10-03
11026.93246761753,-10.91144759459712,11016.021020022932,2023-10-04
0.0,11004.697663339975,11004.697663339975,2023-10-05
11219.26446193656,-11.004697663338447,11208.259764273222,2023-10-06
11228.193669951213,-11.004697663338447,11217.188972287875,2023-10-07
0.0,11207.098920970053,11207.098920970053,2023-10-08
11066.36265439344,-11.207098920969656,11055.155555472471,2023-10-09
10989.069642030985,-11.207098920969656,10977.862543110015,2023-10-10
10781.37263528108,-11.207098920969656,10770.165536360111,2023-10-11
10734.62509800417,-11.207098920969656,10723.4179990832,2023-10-12
10776.981458779634,-11.207098920969656,10765.774359858664,2023-10-13
10776.713474774726,-11.207098920969656,10765.506375853756,2023-10-14
10896.246878226311,-11.207098920969656,10885.039779305342,2023-10-15
11441.794140845817,-11.207098920969656,11430.587041924848,2023-10-16
11400.182963662943,-11.207098920969656,11388.975864741973,2023-10-17
11365.116237968306,-11.207098920969656,11353.909139047337,2023-10-18
11522.168969264696,-11.207098920969656,11510.961870343726,2023-10-19
11908.574479075885,-11.207098920969656,11897.367380154916,2023-10-20
12003.040407963272,-11.207098920969656,11991.833309042302,2023-10-21
12033.324167675604,-11.207098920969656,12022.117068754635,2023-10-22
13273.946715441665,-11.207098920969656,13262.739616520696,2023-10-23
13601.036081430047,-11.207098920969656,13589.828982509078,2023-10-24
13842.270267741322,-11.207098920969656,13831.063168820352,2023-10-25
0.0,13817.809560680442,13817.809560680442,2023-10-26
0.0,13817.809560680442,13817.809560680442,2023-10-27
0.0,13817.809560680442,13817.809560680442,2023-10-28
0.0,13817.809560680442,13817.809560680442,2023-10-29
13806.053648411105,-13.817809560678143,13792.235838850427,2023-10-30
13872.245327292847,-13.817809560678143,13858.427517732169,2023-10-31
0.0,13840.354796324498,13840.354796324498,2023-11-01
0.0,13840.354796324498,13840.354796324498,2023-11-02
0.0,13840.354796324498,13840.354796324498,2023-11-03
0.0,13840.354796324498,13840.354796324498,2023-11-04
0.0,13840.354796324498,13840.354796324498,2023-11-05
0.0,13840.354796324498,13840.354796324498,2023-11-06
0.0,13840.354796324498,13840.354796324498,2023-11-07
0.0,13840.354796324498,13840.354796324498,2023-11-08
0.0,13840.354796324498,13840.354796324498,2023-11-09
0.0,13840.354796324498,13840.354796324498,2023-11-10
0.0,13840.354796324498,13840.354796324498,2023-11-11
0.0,13840.354796324498,13840.354796324498,2023-11-12
0.0,13840.354796324498,13840.354796324498,2023-11-13
0.0,13840.354796324498,13840.354796324498,2023-11-14
0.0,13840.354796324498,13840.354796324498,2023-11-15
0.0,13840.354796324498,13840.354796324498,2023-11-16
0.0,13840.354796324498,13840.354796324498,2023-11-17
0.0,13840.354796324498,13840.354796324498,2023-11-18
0.0,13840.354796324498,13840.354796324498,2023-11-19
0.0,13840.354796324498,13840.354796324498,2023-11-20
0.0,13840.354796324498,13840.354796324498,2023-11-21
0.0,13840.354796324498,13840.354796324498,2023-11-22
0.0,13840.354796324498,13840.354796324498,2023-11-23
0.0,13840.354796324498,13840.354796324498,2023-11-24
0.0,13840.354796324498,13840.354796324498,2023-11-25
13724.017573019812,-13.840354796322572,13710.177218223489,2023-11-26
13641.644759823812,-13.840354796322572,13627.80440502749,2023-11-27
13852.89924259332,-13.840354796322572,13839.058887796997,2023-11-28
13862.934799608376,-13.840354796322572,13849.094444812054,2023-11-29
13809.565833275878,-13.840354796322572,13795.725478479555,2023-11-30
14166.956678360148,-13.840354796322572,14153.116323563825,2023-12-01
14455.351638584338,-13.840354796322572,14441.511283788015,2023-12-02
14639.194289165052,-13.840354796322572,14625.35393436873,2023-12-03
0.0,14610.801906101364,14610.801906101364,2023-12-04
0.0,14610.801906101364,14610.801906101364,2023-12-05
0.0,14610.801906101364,14610.801906101364,2023-12-06
0.0,14610.801906101364,14610.801906101364,2023-12-07
0.0,14610.801906101364,14610.801906101364,2023-12-08
0.0,14610.801906101364,14610.801906101364,2023-12-09
0.0,14610.801906101364,14610.801906101364,2023-12-10
0.0,14610.801906101364,14610.801906101364,2023-12-11
0.0,14610.801906101364,14610.801906101364,2023-12-12
0.0,14610.801906101364,14610.801906101364,2023-12-13
0.0,14610.801906101364,14610.801906101364,2023-12-14
0.0,14610.801906101364,14610.801906101364,2023-12-15
0.0,14610.801906101364,14610.801906101364,2023-12-16
0.0,14610.801906101364,14610.801906101364,2023-12-17
15061.454639189014,-14.610801906099368,15046.843837282915,2023-12-18
14936.714410995879,-14.610801906099368,14922.10360908978,2023-12-19
0.0,14903.90985666246,14903.90985666246,2023-12-20
14979.380947507887,-14.903909856660903,14964.477037651226,2023-12-21
15023.343394784722,-14.903909856660903,15008.439484928062,2023-12-22
14935.125061565972,-14.903909856660903,14920.221151709311,2023-12-23
14688.107059492902,-14.903909856660903,14673.203149636242,2023-12-24
0.0,14656.624255866398,14656.624255866398,2023-12-25
0.0,14656.624255866398,14656.624255866398,2023-12-26
0.0,14656.624255866398,14656.624255866398,2023-12-27
0.0,14656.624255866398,14656.624255866398,2023-12-28
0.0,14656.624255866398,14656.624255866398,2023-12-29
14679.309368285829,-14.656624255865609,14664.652744029963,2023-12-30
0.0,14648.302084044839,14648.302084044839,2023-12-31
0.0,14648.302084044839,14648.302084044839,2024-01-01
0.0,14648.302084044839,14648.302084044839,2024-01-02
0.0,14648.302084044839,14648.302084044839,2024-01-03
0.0,14648.302084044839,14648.302084044839,2024-01-04
14638.262405058802,-14.64830208404419,14623.614102974758,2024-01-05
14580.755009886645,-14.64830208404419,14566.1067078026,2024-01-06
14565.475379797112,-14.64830208404419,14550.827077713067,2024-01-07
15568.946085116111,-14.64830208404419,15554.297783032067,2024-01-08
15293.576102217907,-14.64830208404419,15278.927800133863,2024-01-09
15455.345188175559,-14.64830208404419,15440.696886091515,2024-01-10
15369.433037058638,-14.64830208404419,15354.784734974593,2024-01-11
14204.204898749598,-14.64830208404419,14189.556596665554,2024-01-12
0.0,14157.563169508629,14157.563169508629,2024-01-13
0.0,14157.563169508629,14157.563169508629,2024-01-14
0.0,14157.563169508629,14157.563169508629,2024-01-15
14375.962608848919,-14.157563169508649,14361.80504567941,2024-01-16
0.0,14339.82688377279,14339.82688377279,2024-01-17
0.0,14339.82688377279,14339.82688377279,2024-01-18
0.0,14339.82688377279,14339.82688377279,2024-01-19
0.0,14339.82688377279,14339.82688377279,2024-01-20
0.0,14339.82688377279,14339.82688377279,2024-01-21
0.0,14339.82688377279,14339.82688377279,2024-01-22
0.0,14339.82688377279,14339.82688377279,2024-01-23
0.0,14339.82688377279,14339.82688377279,2024-01-24
14289.108717927189,-14.33982688377364,14274.768891043415,2024-01-25
14962.905827010418,-14.33982688377364,14948.566000126644,2024-01-26
15071.390929862931,-14.33982688377364,15057.051102979158,2024-01-27
0.0,15044.14961817547,15044.14961817547,2024-01-28
0.0,15044.14961817547,15044.14961817547,2024-01-29
0.0,15044.14961817547,15044.14961817547,2024-01-30
0.0,15044.14961817547,15044.14961817547,2024-01-31
0.0,15044.14961817547,15044.14961817547,2024-02-01
0.0,15044.14961817547,15044.14961817547,2024-02-02
0.0,15044.14961817547,15044.14961817547,2024-02-03
0.0,15044.14961817547,15044.14961817547,2024-02-04
0.0,15044.14961817547,15044.14961817547,2024-02-05
0.0,15044.14961817547,15044.14961817547,2024-02-06
0.0,15044.14961817547,15044.14961817547,2024-02-07
15373.130499684747,-15.044149618173833,15358.086350066573,2024-02-08
15999.447784756554,-15.044149618173833,15984.40363513838,2024-02-09
16211.229301792575,-15.044149618173833,16196.185152174401,2024-02-10
16388.58790481548,-15.044149618173833,16373.543755197305,2024-02-11
16953.371314791442,-15.044149618173833,16938.32716517327,2024-02-12
16880.145738309446,-15.044149618173833,16865.101588691272,2024-02-13
17587.43932299305,-15.044149618173833,17572.395173374876,2024-02-14
17625.398910395994,-15.044149618173833,17610.35476077782,2024-02-15
17700.615522646924,-15.044149618173833,17685.57137302875,2024-02-16
0.0,17668.3700050856,17668.3700050856,2024-02-17
0.0,17668.3700050856,17668.3700050856,2024-02-18
17547.834935148745,-17.668370005085308,17530.16656514366,2024-02-19
17719.22584683027,-17.668370005085308,17701.557476825186,2024-02-20
17568.18071377676,-17.668370005085308,17550.512343771676,2024-02-21
17387.139159490107,-17.668370005085308,17369.47078948502,2024-02-22
17192.94281294458,-17.668370005085308,17175.274442939495,2024-02-23
17477.329643721227,-17.668370005085308,17459.66127371614,2024-02-24
17532.277410883245,-17.668370005085308,17514.60904087816,2024-02-25
18477.518801386715,-17.668370005085308,18459.85043138163,2024-02-26
19346.103112234134,-17.668370005085308,19328.43474222905,2024-02-27
21182.731600810446,-17.668370005085308,21165.06323080536,2024-02-28
20739.99347833314,-17.668370005085308,20722.325108328056,2024-02-29
0.0,20691.31990502625,20691.31990502625,2024-03-01
20558.15236874793,-20.69131990502501,20537.461048842906,2024-03-02
20935.154425576144,-20.69131990502501,20914.46310567112,2024-03-03
22646.308459456162,-20.69131990502501,22625.617139551137,2024-03-04
21145.219993390496,-20.69131990502501,21124.52867348547,2024-03-05
21909.351944696446,-20.69131990502501,21888.66062479142,2024-03-06
22180.681673734205,-20.69131990502501,22159.99035382918,2024-03-07
0.0,22141.984536948075,22141.984536948075,2024-03-08
0.0,22141.984536948075,22141.984536948075,2024-03-09
0.0,22141.984536948075,22141.984536948075,2024-03-10
23137.55090674646,-22.141984536949167,23115.40892220951,2024-03-11
22931.39751514017,-22.141984536949167,22909.25553060322,2024-03-12
